920.000000000000+0.00000000000000i	0.679995000000000+0.156092000000000i
930.000000000000+0.00000000000000i	0.681143000000000+0.155675000000000i
940.000000000000+0.00000000000000i	0.682275000000000+0.155262000000000i
950.000000000000+0.00000000000000i	0.683391000000000+0.154851000000000i
960.000000000000+0.00000000000000i	0.684492000000000+0.154443000000000i
970.000000000000+0.00000000000000i	0.685579000000000+0.154038000000000i
980.000000000000+0.00000000000000i	0.686650000000000+0.153636000000000i
990.000000000000+0.00000000000000i	0.687707000000000+0.153236000000000i
1000.00000000000+0.00000000000000i	0.688750000000000+0.152839000000000i
1100.00000000000+0.00000000000000i	0.698470000000000+0.149010000000000i
1200.00000000000+0.00000000000000i	0.707069000000000+0.145425000000000i
1300.00000000000+0.00000000000000i	0.714742000000000+0.142062000000000i
1400.00000000000+0.00000000000000i	0.721640000000000+0.138899000000000i
1500.00000000000+0.00000000000000i	0.727881000000000+0.135920000000000i
1600.00000000000+0.00000000000000i	0.733559000000000+0.133108000000000i
1700.00000000000+0.00000000000000i	0.738751000000000+0.130449000000000i
1800.00000000000+0.00000000000000i	0.743520000000000+0.127930000000000i
1900.00000000000+0.00000000000000i	0.747916000000000+0.125540000000000i
2000.00000000000+0.00000000000000i	0.751985000000000+0.123268000000000i
2100.00000000000+0.00000000000000i	0.755761000000000+0.121106000000000i
2200.00000000000+0.00000000000000i	0.759276000000000+0.119045000000000i
2300.00000000000+0.00000000000000i	0.762558000000000+0.117078000000000i
2400.00000000000+0.00000000000000i	0.765628000000000+0.115199000000000i
2500.00000000000+0.00000000000000i	0.768508000000000+0.113401000000000i
2600.00000000000+0.00000000000000i	0.771214000000000+0.111680000000000i
2700.00000000000+0.00000000000000i	0.773761000000000+0.110031000000000i
2800.00000000000+0.00000000000000i	0.776164000000000+0.108448000000000i
2900.00000000000+0.00000000000000i	0.778434000000000+0.106928000000000i
3000.00000000000+0.00000000000000i	0.780582000000000+0.105468000000000i
3100.00000000000+0.00000000000000i	0.782617000000000+0.104064000000000i
3200.00000000000+0.00000000000000i	0.784549000000000+0.102712000000000i
3300.00000000000+0.00000000000000i	0.786383000000000+0.101411000000000i
3400.00000000000+0.00000000000000i	0.788129000000000+0.100157000000000i
3500.00000000000+0.00000000000000i	0.789791000000000+0.0989478000000000i
3600.00000000000+0.00000000000000i	0.791375000000000+0.0977814000000000i
3700.00000000000+0.00000000000000i	0.792887000000000+0.0966556000000000i
3800.00000000000+0.00000000000000i	0.794331000000000+0.0955684000000000i
3900.00000000000+0.00000000000000i	0.795711000000000+0.0945181000000000i
4000.00000000000+0.00000000000000i	0.797032000000000+0.0935029000000000i
4100.00000000000+0.00000000000000i	0.798297000000000+0.0925213000000000i
4200.00000000000+0.00000000000000i	0.799509000000000+0.0915718000000000i
4300.00000000000+0.00000000000000i	0.800672000000000+0.0906530000000000i
4400.00000000000+0.00000000000000i	0.801787000000000+0.0897636000000000i
4500.00000000000+0.00000000000000i	0.802859000000000+0.0889025000000000i
4600.00000000000+0.00000000000000i	0.803889000000000+0.0880684000000000i
4700.00000000000+0.00000000000000i	0.804880000000000+0.0872602000000000i
4800.00000000000+0.00000000000000i	0.805833000000000+0.0864771000000000i
4900.00000000000+0.00000000000000i	0.806751000000000+0.0857180000000000i
5000.00000000000+0.00000000000000i	0.807635000000000+0.0849819000000000i
5100.00000000000+0.00000000000000i	0.808487000000000+0.0842681000000000i
5200.00000000000+0.00000000000000i	0.809309000000000+0.0835758000000000i
5300.00000000000+0.00000000000000i	0.810101000000000+0.0829041000000000i
5400.00000000000+0.00000000000000i	0.810867000000000+0.0822523000000000i
5500.00000000000+0.00000000000000i	0.811606000000000+0.0816198000000000i
5600.00000000000+0.00000000000000i	0.812320000000000+0.0810058000000000i
5700.00000000000+0.00000000000000i	0.813011000000000+0.0804098000000000i
5800.00000000000+0.00000000000000i	0.813678000000000+0.0798312000000000i
5900.00000000000+0.00000000000000i	0.814324000000000+0.0792693000000000i
6000.00000000000+0.00000000000000i	0.814949000000000+0.0787237000000000i
6100.00000000000+0.00000000000000i	0.815555000000000+0.0781938000000000i
6200.00000000000+0.00000000000000i	0.816141000000000+0.0776791000000000i
6300.00000000000+0.00000000000000i	0.816709000000000+0.0771792000000000i
6400.00000000000+0.00000000000000i	0.817260000000000+0.0766936000000000i
6500.00000000000+0.00000000000000i	0.817794000000000+0.0762219000000000i
6600.00000000000+0.00000000000000i	0.818312000000000+0.0757636000000000i
6700.00000000000+0.00000000000000i	0.818814000000000+0.0753184000000000i
6800.00000000000+0.00000000000000i	0.819302000000000+0.0748859000000000i
6900.00000000000+0.00000000000000i	0.819776000000000+0.0744657000000000i
7000.00000000000+0.00000000000000i	0.820236000000000+0.0740574000000000i
7100.00000000000+0.00000000000000i	0.820683000000000+0.0736608000000000i
7200.00000000000+0.00000000000000i	0.821117000000000+0.0732754000000000i
7300.00000000000+0.00000000000000i	0.821540000000000+0.0729011000000000i
7400.00000000000+0.00000000000000i	0.821950000000000+0.0725374000000000i
7500.00000000000+0.00000000000000i	0.822349000000000+0.0721841000000000i
7600.00000000000+0.00000000000000i	0.822738000000000+0.0718410000000000i
7700.00000000000+0.00000000000000i	0.823116000000000+0.0715077000000000i
7800.00000000000+0.00000000000000i	0.823484000000000+0.0711840000000000i
7900.00000000000+0.00000000000000i	0.823843000000000+0.0708696000000000i
8000.00000000000+0.00000000000000i	0.824192000000000+0.0705644000000000i
8100.00000000000+0.00000000000000i	0.824532000000000+0.0702680000000000i
8200.00000000000+0.00000000000000i	0.824864000000000+0.0699802000000000i
8300.00000000000+0.00000000000000i	0.825187000000000+0.0697009000000000i
8400.00000000000+0.00000000000000i	0.825502000000000+0.0694298000000000i
8500.00000000000+0.00000000000000i	0.825809000000000+0.0691668000000000i
8600.00000000000+0.00000000000000i	0.826109000000000+0.0689115000000000i
8700.00000000000+0.00000000000000i	0.826401000000000+0.0686639000000000i
8800.00000000000+0.00000000000000i	0.826686000000000+0.0684238000000000i
8900.00000000000+0.00000000000000i	0.826965000000000+0.0681909000000000i
9000.00000000000+0.00000000000000i	0.827237000000000+0.0679651000000000i
9100.00000000000+0.00000000000000i	0.827502000000000+0.0677463000000000i
9200.00000000000+0.00000000000000i	0.827762000000000+0.0675343000000000i
9300.00000000000+0.00000000000000i	0.828015000000000+0.0673288000000000i
9400.00000000000+0.00000000000000i	0.828263000000000+0.0671299000000000i
9500.00000000000+0.00000000000000i	0.828505000000000+0.0669372000000000i
9600.00000000000+0.00000000000000i	0.828741000000000+0.0667507000000000i
9700.00000000000+0.00000000000000i	0.828973000000000+0.0665703000000000i
9800.00000000000+0.00000000000000i	0.829199000000000+0.0663958000000000i
9900.00000000000+0.00000000000000i	0.829420000000000+0.0662271000000000i
10000.0000000000+0.00000000000000i	0.829637000000000+0.0660640000000000i
11000.0000000000+0.00000000000000i	0.831569000000000+0.0647186000000000i
12000.0000000000+0.00000000000000i	0.833154000000000+0.0638226000000000i
13000.0000000000+0.00000000000000i	0.834478000000000+0.0632948000000000i
14000.0000000000+0.00000000000000i	0.835603000000000+0.0630721000000000i
15000.0000000000+0.00000000000000i	0.836573000000000+0.0631046000000000i
16000.0000000000+0.00000000000000i	0.837423000000000+0.0633524000000000i
17000.0000000000+0.00000000000000i	0.838179000000000+0.0637832000000000i
18000.0000000000+0.00000000000000i	0.838859000000000+0.0643707000000000i
19000.0000000000+0.00000000000000i	0.839481000000000+0.0650933000000000i
20000.0000000000+0.00000000000000i	0.840054000000000+0.0659328000000000i
21000.0000000000+0.00000000000000i	0.840590000000000+0.0668741000000000i
22000.0000000000+0.00000000000000i	0.841096000000000+0.0679045000000000i
23000.0000000000+0.00000000000000i	0.841578000000000+0.0690131000000000i
24000.0000000000+0.00000000000000i	0.842041000000000+0.0701908000000000i
25000.0000000000+0.00000000000000i	0.842489000000000+0.0714295000000000i
26000.0000000000+0.00000000000000i	0.842925000000000+0.0727225000000000i
27000.0000000000+0.00000000000000i	0.843353000000000+0.0740636000000000i
28000.0000000000+0.00000000000000i	0.843775000000000+0.0754479000000000i
29000.0000000000+0.00000000000000i	0.844193000000000+0.0768706000000000i
30000.0000000000+0.00000000000000i	0.844608000000000+0.0783279000000000i
31000.0000000000+0.00000000000000i	0.845021000000000+0.0798160000000000i
32000.0000000000+0.00000000000000i	0.845435000000000+0.0813320000000000i
33000.0000000000+0.00000000000000i	0.845850000000000+0.0828731000000000i
34000.0000000000+0.00000000000000i	0.846267000000000+0.0844366000000000i
35000.0000000000+0.00000000000000i	0.846687000000000+0.0860204000000000i
36000.0000000000+0.00000000000000i	0.847110000000000+0.0876225000000000i
37000.0000000000+0.00000000000000i	0.847536000000000+0.0892410000000000i
38000.0000000000+0.00000000000000i	0.847967000000000+0.0908744000000000i
39000.0000000000+0.00000000000000i	0.848403000000000+0.0925210000000000i
40000.0000000000+0.00000000000000i	0.848844000000000+0.0941796000000000i
41000.0000000000+0.00000000000000i	0.849290000000000+0.0958488000000000i
42000.0000000000+0.00000000000000i	0.849742000000000+0.0975277000000000i
43000.0000000000+0.00000000000000i	0.850199000000000+0.0992151000000000i
44000.0000000000+0.00000000000000i	0.850663000000000+0.100910000000000i
45000.0000000000+0.00000000000000i	0.851133000000000+0.102612000000000i
46000.0000000000+0.00000000000000i	0.851609000000000+0.104319000000000i
47000.0000000000+0.00000000000000i	0.852091000000000+0.106032000000000i
48000.0000000000+0.00000000000000i	0.852580000000000+0.107749000000000i
49000.0000000000+0.00000000000000i	0.853076000000000+0.109470000000000i
50000.0000000000+0.00000000000000i	0.853578000000000+0.111194000000000i
51000.0000000000+0.00000000000000i	0.854087000000000+0.112921000000000i
52000.0000000000+0.00000000000000i	0.854602000000000+0.114650000000000i
53000.0000000000+0.00000000000000i	0.855125000000000+0.116380000000000i
54000.0000000000+0.00000000000000i	0.855654000000000+0.118112000000000i
55000.0000000000+0.00000000000000i	0.856190000000000+0.119844000000000i
56000.0000000000+0.00000000000000i	0.856732000000000+0.121577000000000i
57000.0000000000+0.00000000000000i	0.857281000000000+0.123310000000000i
58000.0000000000+0.00000000000000i	0.857837000000000+0.125042000000000i
59000.0000000000+0.00000000000000i	0.858400000000000+0.126773000000000i
60000.0000000000+0.00000000000000i	0.858969000000000+0.128504000000000i
