f [Hz]  Z [Ohm] 
 (7.40000e+02+0.00000e+00j)  (6.32578e-01+1.69367e-01j)
 (7.50000e+02+0.00000e+00j)  (6.34160e-01+1.68936e-01j)
 (7.60000e+02+0.00000e+00j)  (6.35717e-01+1.68507e-01j)
 (7.70000e+02+0.00000e+00j)  (6.37249e-01+1.68080e-01j)
 (7.80000e+02+0.00000e+00j)  (6.38756e-01+1.67655e-01j)
 (7.90000e+02+0.00000e+00j)  (6.40239e-01+1.67232e-01j)
 (8.00000e+02+0.00000e+00j)  (6.41700e-01+1.66811e-01j)
 (8.10000e+02+0.00000e+00j)  (6.43137e-01+1.66392e-01j)
 (8.20000e+02+0.00000e+00j)  (6.44553e-01+1.65975e-01j)
 (8.30000e+02+0.00000e+00j)  (6.45947e-01+1.65561e-01j)
 (8.40000e+02+0.00000e+00j)  (6.47320e-01+1.65148e-01j)
 (8.50000e+02+0.00000e+00j)  (6.48673e-01+1.64738e-01j)
 (8.60000e+02+0.00000e+00j)  (6.50006e-01+1.64330e-01j)
 (8.70000e+02+0.00000e+00j)  (6.51319e-01+1.63924e-01j)
 (8.80000e+02+0.00000e+00j)  (6.52613e-01+1.63520e-01j)
 (8.90000e+02+0.00000e+00j)  (6.53889e-01+1.63119e-01j)
 (9.00000e+02+0.00000e+00j)  (6.55147e-01+1.62719e-01j)
 (9.10000e+02+0.00000e+00j)  (6.56387e-01+1.62322e-01j)
 (9.20000e+02+0.00000e+00j)  (6.57610e-01+1.61927e-01j)
 (9.30000e+02+0.00000e+00j)  (6.58816e-01+1.61534e-01j)
 (9.40000e+02+0.00000e+00j)  (6.60005e-01+1.61143e-01j)
 (9.50000e+02+0.00000e+00j)  (6.61178e-01+1.60755e-01j)
 (9.60000e+02+0.00000e+00j)  (6.62336e-01+1.60368e-01j)
 (9.70000e+02+0.00000e+00j)  (6.63478e-01+1.59984e-01j)
 (9.80000e+02+0.00000e+00j)  (6.64605e-01+1.59602e-01j)
 (9.90000e+02+0.00000e+00j)  (6.65717e-01+1.59222e-01j)
 (1.00000e+03+0.00000e+00j)  (6.66815e-01+1.58844e-01j)
 (1.10000e+03+0.00000e+00j)  (6.77060e-01+1.55180e-01j)
 (1.20000e+03+0.00000e+00j)  (6.86147e-01+1.51717e-01j)
 (1.30000e+03+0.00000e+00j)  (6.94273e-01+1.48442e-01j)
 (1.40000e+03+0.00000e+00j)  (7.01593e-01+1.45342e-01j)
 (1.50000e+03+0.00000e+00j)  (7.08228e-01+1.42403e-01j)
 (1.60000e+03+0.00000e+00j)  (7.14274e-01+1.39615e-01j)
 (1.70000e+03+0.00000e+00j)  (7.19811e-01+1.36966e-01j)
 (1.80000e+03+0.00000e+00j)  (7.24903e-01+1.34446e-01j)
 (1.90000e+03+0.00000e+00j)  (7.29603e-01+1.32044e-01j)
 (2.00000e+03+0.00000e+00j)  (7.33957e-01+1.29754e-01j)
 (2.10000e+03+0.00000e+00j)  (7.38003e-01+1.27566e-01j)
 (2.20000e+03+0.00000e+00j)  (7.41774e-01+1.25475e-01j)
 (2.30000e+03+0.00000e+00j)  (7.45296e-01+1.23473e-01j)
 (2.40000e+03+0.00000e+00j)  (7.48594e-01+1.21555e-01j)
 (2.50000e+03+0.00000e+00j)  (7.51690e-01+1.19716e-01j)
 (2.60000e+03+0.00000e+00j)  (7.54601e-01+1.17951e-01j)
 (2.70000e+03+0.00000e+00j)  (7.57344e-01+1.16255e-01j)
 (2.80000e+03+0.00000e+00j)  (7.59933e-01+1.14625e-01j)
 (2.90000e+03+0.00000e+00j)  (7.62380e-01+1.13056e-01j)
